country_code,city,year,pm25_concentration,pm10_concentration,no2_concentration,latitude,longitude
AUT,Gemeinde gratwein,2010,\N,\N,20.0,47.142223,15.325563
AUT,Glinzendorf,2013,18.0,\N,15.0,48.2308,16.6364
AUT,Glinzendorf,2014,13.0,\N,13.0,48.2308,16.6364
AUT,Glinzendorf,2015,15.0,\N,14.0,48.2308,16.6364
AUT,Glinzendorf,2016,11.0,\N,12.0,48.2308,16.6364
AUT,Glinzendorf,2017,14.0,\N,13.0,48.2308,16.6364
AUT,Glinzendorf,2018,15.0,\N,11.0,48.2308,16.6364
AUT,Glinzendorf,2019,12.0,\N,10.0,48.2308,16.6364
AUT,Grosesnserndorf,2013,18.0,\N,15.0,48.23083333,16.63638889
AUT,Heiligenblut,2013,\N,\N,1.0,47.0542,12.9583
AUT,Heiligenblut,2014,\N,\N,1.0,47.0542,12.9583
AUT,Heiligenblut,2015,\N,\N,1.0,47.0542,12.9583
AUT,Heiligenblut,2016,\N,\N,1.0,47.0542,12.9583
AUT,Heiligenblut,2017,\N,\N,1.0,47.0542,12.9583
AUT,Heiligenblut,2018,\N,\N,1.0,47.0542,12.9583
AUT,Heiligenblut,2019,\N,\N,1.0,47.0542,12.9583
AUT,Heiligenblut,2020,\N,\N,0.0,47.0542,12.9583
AUT,Heiligenblut,2021,\N,\N,0.0,47.0542,12.9583
AUT,Hochberg,2013,\N,\N,9.0,47.936667,13.0158333
AUT,Hochgossnitz,2013,\N,\N,6.0,47.05917,15.016667
AUT,Hochgößnitz,2010,\N,\N,7.0,47.059166,15.016666
AUT,Höchst,2020,\N,\N,27.0,47.4597,9.6406
AUT,Höchst,2021,\N,\N,25.0,47.4597,9.6406
AUT,Innermanzing,2013,\N,\N,10.0,48.1051,15.9189
AUT,Innermanzing,2014,\N,\N,8.0,48.1051,15.9189
AUT,Innermanzing,2015,\N,\N,8.0,48.1051,15.9189
AUT,Innermanzing,2016,\N,\N,10.0,48.1051,15.9189
AUT,Innermanzing,2017,\N,\N,10.0,48.1051,15.9189
AUT,Innermanzing,2018,\N,\N,7.0,48.1051,15.9189
AUT,Innermanzing,2019,\N,\N,6.0,48.1051,15.9189
AUT,Innermanzing,2020,\N,\N,6.0,48.1051,15.9189
AUT,Innermanzing,2021,\N,\N,7.0,48.1051,15.9189
AUT,Klein-Pöchlarn,2013,\N,\N,16.0,48.2127,15.205
AUT,Klein-Pöchlarn,2014,\N,\N,16.0,48.2127,15.205
AUT,Klein-Pöchlarn,2015,\N,\N,17.0,48.2127,15.205
AUT,Klein-Pöchlarn,2016,\N,\N,17.0,48.2127,15.205
AUT,Klein-Pöchlarn,2017,\N,\N,16.0,48.2127,15.205
AUT,Klein-Pöchlarn,2018,\N,\N,16.0,48.2127,15.205
AUT,Klein-Pöchlarn,2019,\N,\N,16.0,48.2127,15.205
AUT,Klein-Pöchlarn,2020,\N,\N,11.0,48.2127,15.205
AUT,Klein-Pöchlarn,2021,\N,\N,13.0,48.2127,15.205
AUT,Klöchberg,2013,\N,\N,7.0,46.7675,15.956111
AUT,Kramsach,2013,\N,\N,22.0,47.458717,11.90995
AUT,Kreuzberg,2013,\N,\N,6.0,47.67027778,15.86027778
AUT,Kreuzberg-ost,2010,\N,\N,6.0,47.670002,15.854726
AUT,Maria Lankowitz,2013,\N,\N,6.0,47.0592,15.0167
AUT,Maria Lankowitz,2014,\N,\N,6.0,47.0592,15.0167
AUT,Maria Lankowitz,2015,\N,\N,5.0,47.0592,15.0167
AUT,Maria Lankowitz,2016,\N,\N,5.0,47.0592,15.0167
AUT,Maria Lankowitz,2017,\N,\N,5.0,47.0592,15.0167
AUT,Maria Lankowitz,2018,\N,\N,5.0,47.0592,15.0167
AUT,Maria Lankowitz,2019,\N,\N,4.0,47.0592,15.0167
AUT,Maria Lankowitz,2020,\N,\N,4.0,47.0592,15.0167
AUT,Maria Lankowitz,2021,\N,\N,3.0,47.0592,15.0167
AUT,Mühlbach,2013,\N,\N,9.0,47.9367,13.0158
AUT,Mühlbach,2014,\N,\N,8.0,47.9367,13.0158
AUT,Mühlbach,2015,\N,\N,8.0,47.9367,13.0158
AUT,Mühlbach,2016,\N,\N,8.0,47.9367,13.0158
AUT,Mühlbach,2017,\N,\N,8.0,47.9367,13.0158
AUT,Mühlbach,2018,\N,\N,8.0,47.9367,13.0158
AUT,Mühlbach,2019,\N,\N,7.0,47.9367,13.0158
AUT,Mühlbach,2020,\N,\N,6.0,47.9367,13.0158
