country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
United States of America,Ellicott City,44,1,27,10,44,39.2774,-76.8345
Japan,Ena,42,1,42,0,12,35.4492,137.4128
Italy,Giussano,62,1,32,4,62,45.7,9.2167
United Kingdom of Great Britain and Northern Ireland,Glenrothes,35,1,22,6,35,56.198,-3.178
United Kingdom of Great Britain and Northern Ireland,Glossop,27,1,25,3,27,53.443,-1.949
Namibia,Gobabis,19,0,18,0,19,-22.4333,18.9667
India,Gobindpur,175,1,51,1,175,24.782,85.6943
Spain,Godella,33,1,33,1,28,39.52,-0.4114
Brazil,Goiatuba,37,1,3,3,37,-18.0128,-49.3569
Netherlands,Goirle,30,0,30,2,27,51.5167,5.0667
United States of America,Golden Glades,61,1,10,16,61,25.9129,-80.2013
Albania,Gramsh,68,1,39,1,68,40.8667,20.1833
United States of America,Granger,57,2,21,11,57,41.7374,-86.1348
United States of America,Grants Pass,29,1,29,2,27,42.4333,-123.3317
,Granville,30,1,30,3,25,48.8381,-1.5869
Mexico,Guasave,35,1,22,1,35,25.5744,-108.4706
Germany,Guben,37,1,21,4,37,51.9533,14.7167
Cameroon,Guider,76,3,8,1,76,9.9342,13.9486
China,Guilin,90,3,46,3,90,25.2819,110.2864
France,Guipavas,34,1,26,9,34,48.4336,-4.4008
United States of America,Fort Walton Beach,65,1,30,1,65,30.4255,-86.6222
France,Fosses,29,0,28,2,29,49.0981,2.5067
United States of America,Fountain Hills,37,1,27,8,37,33.6073,-111.7398
United States of America,Fountain,72,1,29,3,72,38.6886,-104.6829
Brazil,Francisco Morato,169,7,0,21,169,-23.2817,-46.7425
Germany,Freiberg,36,1,25,3,36,50.9119,13.3428
United States of America,Front Royal,46,1,37,2,46,38.926,-78.1838
Germany,Gaggenau,29,0,29,2,26,48.8039,8.3194
Israel,Gan Yavne,77,1,43,6,77,31.7886,34.7053
Italy,Gela,53,1,38,2,53,37.0667,14.25
Netherlands,Gennep,30,0,25,3,30,51.7,5.9667
Germany,Genthin,31,0,30,1,31,52.4,12.1667
Guyana,Georgetown,27,0,19,0,27,6.8058,-58.1508
Guyana,Georgetown,27,0,19,0,27,-7.9286,-14.4119
Guyana,Georgetown,27,0,19,0,27,30.666,-97.6966
Guyana,Georgetown,27,0,19,0,27,38.2247,-84.5487
Guyana,Georgetown,27,0,19,0,27,31.9849,-81.226
Guyana,Georgetown,27,0,19,0,27,-18.3,143.55
Germany,Gera,30,0,28,2,30,50.8806,12.0833
United States of America,Lake Jackson,25,0,24,2,25,29.0516,-95.4521
United States of America,Lakeside,57,2,22,14,57,30.1356,-81.7674
United States of America,Lakeside,57,2,22,14,57,32.856,-116.904
United States of America,Lakeside,57,2,22,14,57,37.6132,-77.4768
Thailand,Lam Luk Ka,66,1,28,1,66,13.9297,100.7375
Netherlands,Leusden,33,0,33,1,26,52.1333,5.4333
United Kingdom of Great Britain and Northern Ireland,Lewes,37,1,12,13,37,50.8747,0.0117
