country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
Mauritius,Port Louis,39,0,30,0,39,-20.1644,57.5042
Germany,Langelsheim,60,2,29,6,60,51.9381,10.335
United States of America,Lansdowne,53,1,30,9,53,39.9408,-75.276
United States of America,Lansdowne,53,1,30,9,53,39.0844,-77.4839
United States of America,Lansdowne,53,1,30,9,53,39.2365,-76.6659
,Madang,14,0,13,0,14,-5.2167,145.8
Netherlands,Lopik,35,1,29,5,35,51.9667,4.95
Netherlands,Losser,52,1,19,8,52,52.2667,7.0
Brazil,Macau,19,0,19,0,15,22.2006,113.5461
Brazil,Macau,19,0,19,0,15,-5.115,-36.6339
Russian Federation,Kizel,35,1,33,0,35,59.05,57.6667
United States of America,Palmetto Estates,63,1,19,10,63,25.6211,-80.3616
Germany,Peiting,59,1,36,2,59,47.8,10.9333
Germany,Wernau,60,1,37,2,60,48.6886,9.4222
United States of America,West Fargo,46,1,33,3,46,46.8573,-96.9057
Mali,Nara,164,1,37,0,164,34.6844,135.805
Mali,Nara,164,1,37,0,164,15.18,-7.28
Russian Federation,Nazarovo,26,1,26,3,25,56.0,90.3833
India,Nongstoin,74,2,19,3,74,25.52,91.27
United States of America,North Auburn,51,1,29,5,51,38.9306,-121.082
Netherlands,Goes,30,1,30,3,26,51.5,3.8833
Brazil,Juquitiba,157,5,2,18,157,-23.9319,-47.0686
India,Kaithal,144,2,131,0,144,29.8015,76.3998
Germany,Kall,58,1,37,2,58,50.5497,6.5497
Sri Lanka,Kalutara,63,0,22,0,63,6.5869,79.9603
Russian Federation,Irkutsk,35,1,35,1,33,52.2833,104.2833
South Africa,Glencoe,139,3,7,10,139,-28.1833,30.15
South Africa,Glencoe,139,3,7,10,139,-46.1833,168.6833
South Africa,Glencoe,139,3,7,10,139,42.1347,-87.7641
Germany,Langenzenn,56,1,37,4,56,49.4944,10.7947
Austria,Leonding,56,1,45,1,56,48.2792,14.2528
Russian Federation,Luza,35,1,35,0,35,60.65,47.2833
India,Meghraj,175,1,37,0,175,23.5,73.5
Somalia,Mogadishu,31,0,19,0,31,2.0392,45.3419
Kenya,Mwingi,23,1,23,0,23,-0.9333,38.05
Thailand,Sai Buri,60,1,34,0,60,6.7012,101.6181
Brazil,Rio Piracicaba,92,3,0,7,92,-19.9289,-43.1739
Thailand,Satun,72,2,72,0,71,6.6147,100.0681
Brazil,Seara,39,1,17,0,39,-27.1489,-52.3108
Iran (Islamic Republic of),Yazd,155,1,54,0,155,31.8822,54.3397
United States of America,Yuba City,57,1,31,8,57,39.1357,-121.6383
United States of America,Zanesville,75,2,36,10,75,39.9565,-82.0132
Senegal,Ziguinchor,153,1,25,1,153,12.5833,-16.2667
Ukraine,Zolochiv,50,1,37,0,50,49.8075,24.9031
United States of America,Glenn Dale,52,1,52,1,39,38.9833,-76.804
Russian Federation,Goryachiy Klyuch,39,1,39,2,37,44.6333,39.1333
United States of America,Guilford,65,2,38,9,65,41.3345,-72.7004
United States of America,Guilford,65,2,38,9,65,39.8811,-77.6012
Australia,Gympie,25,0,25,3,17,-26.19,152.6655
Japan,Hamada,52,1,47,2,52,34.9,132.0833
United States of America,Haverstraw,51,1,44,1,51,41.2055,-74.0384
Germany,Heidenheim,64,1,53,0,64,48.6761,10.1544
United States of America,Jasper,65,1,65,4,56,38.3933,-86.9402
United States of America,Jasper,65,1,65,4,56,33.8508,-87.271
India,Jaunpur,184,5,63,12,184,25.73,82.68
China,Jining,158,6,105,15,158,35.4,116.5667
China,Jining,158,6,105,15,158,41.03,113.08
,Kalamansig,45,1,25,0,45,6.5667,124.05
Russian Federation,Kandry,39,1,39,0,8,54.5667,54.1167
Finland,Kauhajoki,36,1,36,0,2,62.4319,22.1794
Japan,Kawasaki,48,1,48,3,44,35.5167,139.7
Japan,Kawasaki,48,1,48,3,44,33.6,130.8149
Russian Federation,Kopeysk,34,1,34,1,21,55.1,61.6167
Colombia,La Calera,99,3,0,8,99,-32.7867,-71.1972
Colombia,La Calera,99,3,0,8,99,-31.3439,-64.3353
Colombia,La Calera,99,3,0,8,99,4.7531,-73.92
Hungary,Szentes,50,1,44,0,50,46.651,20.258
India,Unhel,152,1,39,0,152,23.3379,75.5593
Nigeria,Uyo,150,7,22,5,150,5.05,7.9333
France,Valenton,84,3,16,10,84,48.745,2.4672
Denmark,Viborg,34,1,34,3,29,56.4333,9.4
Canada,Victoriaville,59,1,25,2,59,46.05,-71.9667
France,Villepinte,79,2,19,7,79,48.955,2.541
South Africa,Villiers,96,3,20,3,96,-27.0333,28.6
United States of America,Waterbury,62,2,18,17,62,41.5582,-73.0361
United States of America,Webb City,44,2,30,4,44,37.1412,-94.4676
United States of America,Summerville,46,2,34,5,46,33.0016,-80.1799
Japan,Ayase,37,1,37,2,19,35.4333,139.4333
Germany,Bad Gandersheim,47,1,36,1,47,51.8719,10.0253
Germany,Bergkamen,65,2,22,11,65,51.6167,7.6333
Germany,Blankenburg,55,1,37,2,55,51.7953,10.9622
Central African Republic,Bossangoa,74,2,17,0,74,6.4833,17.45
France,Agde,47,1,47,0,31,43.3108,3.4758
South Africa,Aliwal North,82,1,0,18,82,-30.7,26.7
Brazil,Araraquara,63,1,23,1,63,-21.7939,-48.1758
India,Ashoknagar,158,3,76,2,158,24.58,77.73
Germany,Sigmaringen,61,1,54,0,61,48.0867,9.2164
Germany,Tettnang,64,1,64,0,62,47.6708,9.5875
Mexico,Ticul,60,1,24,0,60,20.3953,-89.5339
Peru,Tumbes,47,1,23,0,47,-3.5708,-80.4597
Mongolia,Ulaanbaatar,44,1,30,0,44,47.9203,106.9172
,Valdez,22,1,22,0,22,1.25,-79.0
United States of America,Spring,29,0,25,1,29,30.0613,-95.383
United States of America,Spring,29,0,25,1,29,40.3038,-76.0262
Russian Federation,Staryye Atagi,53,1,38,2,53,43.1126,45.7339
Germany,Stelle,43,1,43,0,24,53.3667,10.1167
United Kingdom of Great Britain and Northern Ireland,Stranraer,26,1,26,1,23,54.902,-5.027
United States of America,Strongsville,53,1,39,2,53,41.3128,-81.8313
Russian Federation,Surazh,40,1,40,0,15,53.0167,32.3833
Japan,Taketoyo,90,2,27,14,90,34.8511,136.9147
Philippines,Tanay,120,2,28,6,120,14.4972,121.2864
Argentina,Tandil,23,0,23,0,23,-37.3167,-59.1333
Brazil,Taquarituba,41,1,20,0,41,-23.5328,-49.2439
Germany,Schleswig,33,0,33,0,17,54.5181,9.5703
Senegal,Sokone,162,2,17,2,162,13.8833,-16.3667
Spain,Sada,34,1,34,2,22,43.35,-8.25
Russian Federation,Sukhoy Log,32,1,30,2,32,56.9167,62.05
Japan,Gose,41,1,41,1,33,34.4667,135.7333
United Kingdom of Great Britain and Northern Ireland,Helensburgh,38,1,26,2,38,56.0166,-4.7333
Netherlands,Hilversum,33,0,33,1,15,52.2333,5.1667
Ukraine,Hrebinka,39,1,39,0,13,50.118,32.4396
China,Huangyan,178,3,178,2,118,28.65,121.25
Brazil,Gandu,21,0,12,1,21,-13.7439,-39.4869
United Kingdom of Great Britain and Northern Ireland,Gibraltar,43,1,33,2,43,36.1333,-5.35
Brazil,Itatiba,127,3,5,11,127,-23.0058,-46.8389
Slovenia,Jesenice,70,1,25,2,70,46.4366,14.0602
Slovenia,Jesenice,70,1,25,2,70,49.9683,14.5136
Malaysia,Johor Bahru,107,1,35,3,107,1.4556,103.7611
Philippines,Kalilangan,43,1,20,0,43,7.7464,124.7475
Zambia,Kawambwa,19,0,19,0,16,-9.7914,29.0789
United Kingdom of Great Britain and Northern Ireland,Motherwell,32,1,24,4,32,55.7839,-3.9852
Australia,Mount Gambier,18,0,18,0,14,-37.8294,140.7828
Papua New Guinea,Mount Hagen,11,0,11,0,6,-5.86,144.24
Brazil,Natal,24,0,23,0,24,-6.9838,-60.2699
Brazil,Natal,24,0,23,0,24,-5.7833,-35.2
India,Nawada,155,3,140,1,155,25.5431,85.924
United Kingdom of Great Britain and Northern Ireland,Loughton,30,0,30,3,16,51.6494,0.0735
Philippines,Magarao,55,1,25,0,55,13.6619,123.1903
South Sudan,Malakal,59,1,13,0,59,9.55,31.65
Spain,Manresa,73,1,25,3,73,41.7264,1.8292
Guatemala,Mazatenango,104,4,6,14,104,14.5333,-91.5
France,Meudon,67,1,23,5,67,48.8123,2.2382
South Africa,Lichtenburg,107,3,17,6,107,-26.15,26.1667
Japan,Kumano,29,1,29,1,18,34.3358,132.5847
Japan,Kumano,29,1,29,1,18,33.8886,136.1002
Uganda,Kyenjojo,61,2,15,0,61,0.61,30.6442
Italy,Pianezza,152,4,17,6,152,45.1058,7.5434
Germany,Pulheim,52,1,36,2,52,51.0,6.8
Germany,Rheinfelden,52,1,31,3,52,47.55,7.8
United States of America,Paragould,59,1,35,3,59,36.0555,-90.5149
Italy,Olbia,45,1,29,5,45,40.9167,9.5
Finland,Kuopio,33,1,33,0,3,62.8925,27.6783
France,Le Pecq,71,1,43,2,71,48.8967,2.1061
Russian Federation,Lebedyan,39,1,39,0,14,53.0167,39.15
Spain,Albox,41,1,41,0,28,37.3833,-2.1333
United Kingdom of Great Britain and Northern Ireland,Aldershot,36,1,33,1,36,51.2483,-0.7614
France,Allonnes,48,1,32,1,48,47.9686,0.1606
Uzbekistan,Asaka,116,1,20,16,116,35.7972,139.5939
Uzbekistan,Asaka,116,1,20,16,116,40.6333,72.2333
Ghana,Ejura,38,1,25,0,38,7.3833,-1.3667
Spain,Estepona,43,1,43,0,21,36.4264,-5.1472
United States of America,Fairbanks,53,1,17,5,53,64.8353,-147.6533
United Kingdom of Great Britain and Northern Ireland,Fareham,37,1,24,4,37,50.85,-1.18
Guatemala,Fraijanes,68,2,17,3,68,14.4622,-90.4386
Belgium,Frameries,55,1,42,1,55,50.4088,3.8906
United States of America,Covington,79,1,79,3,34,39.0334,-84.5166
United States of America,Covington,79,1,79,3,34,47.3667,-122.1045
United States of America,Covington,79,1,79,3,34,33.6049,-83.8463
United States of America,Covington,79,1,79,3,34,30.481,-90.1122
United States of America,Covington,79,1,79,3,34,35.566,-89.6482
United States of America,Cromwell,57,1,39,6,57,41.6122,-72.6638
India,Malavalli,71,1,19,4,71,12.38,77.08
Mozambique,Manjacaze,44,0,30,0,44,-24.7117,33.8828
Japan,Date,39,1,39,0,36,37.8191,140.563
Japan,Date,39,1,39,0,36,42.4719,140.8647
United States of America,Desert Hot Springs,46,1,32,4,46,33.955,-116.5429
France,Dijon,142,1,31,2,142,47.3167,5.0167
United States of America,Gretna,38,0,28,1,38,29.9101,-90.0515
United Kingdom of Great Britain and Northern Ireland,Herne Bay,34,0,34,0,27,51.37,1.13
Ukraine,Horlivka,44,1,35,5,44,48.3336,38.0925
India,Hoskote,84,2,19,5,84,13.0721,77.7892
United States of America,Huber Heights,44,1,44,1,44,39.8595,-84.113
United States of America,Hurricane,32,1,32,1,28,37.1487,-113.3517
Democratic Republic of the Congo,Inongo,66,2,22,0,66,-1.95,18.2667
Pakistan,Jalalpur Jattan,162,4,47,8,162,32.7667,74.2167
Mexico,Jiutepec,153,2,36,4,153,18.8833,-99.1667
Hungary,Kalocsa,62,1,62,0,53,46.5335,18.9858
Belgium,Kampenhout,52,1,37,2,52,50.9413,4.5496
Russian Federation,Menzelinsk,42,1,42,0,22,55.7333,53.1167
Russian Federation,Nadym,56,1,31,0,56,65.5333,72.5167
Mexico,Nava,60,1,19,3,60,28.4214,-100.7675
United States of America,North Smithfield,50,1,44,1,50,41.9727,-71.5514
Kenya,Nyeri,150,4,19,3,150,-0.4167,36.95
United States of America,Rantoul,56,1,41,1,56,40.3031,-88.1549
Germany,Rodgau,61,1,61,0,58,50.0167,8.8833
Italy,Pisticci,52,1,52,0,30,40.3833,16.55
United States of America,Radcliff,38,2,37,4,38,37.8204,-85.9365
Italy,Benevento,47,1,46,2,47,41.1333,14.7833
Ukraine,Bolhrad,36,1,36,0,24,45.6855,28.6134
Democratic Republic of the Congo,Boma,34,1,23,0,34,-5.85,13.05
India,Baharampur,158,4,158,2,105,24.1,88.25
Italy,Arzachena,42,1,28,4,42,41.0833,9.3833
Peru,Ascope,40,1,13,2,40,-7.7138,-79.1077
United States of America,Augusta,34,1,18,3,34,33.3645,-82.0708
United States of America,Augusta,34,1,18,3,34,37.25,15.2167
United States of America,Augusta,34,1,18,3,34,44.3341,-69.7319
United States of America,Augusta,34,1,18,3,34,37.6955,-96.9919
United States of America,Avon Lake,35,2,31,6,35,41.4944,-82.0159
Germany,Bad Waldsee,49,1,25,6,49,47.9211,9.7519
United States of America,Norwalk,133,4,4,34,133,33.9069,-118.0829
United States of America,Norwalk,133,4,4,34,133,41.1144,-73.4215
United States of America,Norwalk,133,4,4,34,133,41.2443,-82.6088
United States of America,Norwalk,133,4,4,34,133,41.4895,-93.6913
United States of America,Oldsmar,53,1,20,10,53,28.0506,-82.6698
Spain,Pontevedra,22,1,22,2,22,42.4333,-8.6333
Spain,Pontevedra,22,1,22,2,22,10.3667,122.8833
Spain,Pontevedra,22,1,22,2,22,11.4833,122.8333
Ecuador,Zamora,23,1,3,1,23,19.9833,-102.2833
Ecuador,Zamora,23,1,3,1,23,-4.0692,-78.9567
Ecuador,Zamora,23,1,3,1,23,41.5033,-5.7556
Russian Federation,Zavolzhye,50,1,31,2,50,56.65,43.4
United States of America,West Islip,64,2,14,25,64,40.7041,-73.2954
Germany,Wetzlar,74,2,33,6,74,50.5667,8.5
United States of America,White Settlement,50,1,26,4,50,32.7554,-97.4605
United States of America,Wickliffe,88,3,6,27,88,41.6072,-81.469
Germany,Rottweil,60,1,36,2,60,48.1681,8.6247
Russian Federation,Sorsk,39,1,39,0,31,54.0333,90.25
Armenia,Yeghvard,89,1,40,0,89,40.3217,44.4814
Nigeria,Zaria,78,2,43,0,78,11.0667,7.7
Russian Federation,Zavodoukovsk,39,1,39,0,30,56.4833,66.5333
China,Zhangye,200,1,32,2,200,38.9355,100.4553
China,Zunyi,170,8,7,24,170,27.705,106.9336
Russian Federation,Zvenigovo,39,1,32,1,39,55.9833,48.0167
United States of America,Shreveport,139,1,24,2,139,32.4653,-93.7955
Romania,Sibiu,39,1,35,0,39,45.7928,24.1519
Italy,Sorso,45,1,23,5,45,40.7983,8.5772
Germany,Delitzsch,41,1,30,2,41,51.5264,12.3425
Côte d'Ivoire,Divo,52,1,18,0,52,5.8333,-5.3667
Netherlands,Doesburg,36,0,32,1,36,52.0167,6.1333
Mexico,Tlaxcala,281,4,1,15,281,19.3151,-98.2362
Spain,Tomelloso,31,1,25,2,31,39.1578,-3.0208
Russian Federation,Tula,31,1,31,1,24,54.2,37.6167
India,Umarga,85,0,26,0,85,17.84,76.6217
India,Upleta,158,0,26,0,158,21.73,70.28
Netherlands,Vaals,44,1,24,4,44,50.7667,6.0167
Ukraine,Vatutine,56,1,39,0,56,49.0167,31.0667
Belarus,Vawkavysk,36,0,36,0,29,53.1667,24.4667
United States of America,Waterford,47,1,32,6,47,52.2567,-7.1292
United States of America,Waterford,47,1,32,6,47,41.3692,-72.1483
United States of America,Waterford,47,1,32,6,47,39.7415,-74.8207
United States of America,Waterford,47,1,32,6,47,37.6429,-120.7553
United States of America,Waycross,46,1,26,2,46,31.2108,-82.3579
China,Wencheng,88,3,88,1,81,19.6167,110.75
Germany,Wolfratshausen,68,1,36,1,68,47.9133,11.4278
Russian Federation,Zadonsk,33,1,33,1,21,52.4,38.9333
United States of America,Bellevue,40,1,34,5,40,47.5951,-122.1535
United States of America,Bellevue,40,1,34,5,40,48.871,2.385
United States of America,Bellevue,40,1,34,5,40,41.1485,-95.939
United States of America,Bellevue,40,1,34,5,40,44.4592,-87.955
Russian Federation,Botlikh,31,1,31,0,25,42.665,46.22
Burundi,Bururi,97,3,16,1,97,-3.95,29.6167
Portugal,Amadora,34,0,33,3,34,38.7333,-9.2333
Philippines,Angono,63,1,23,1,63,14.5234,121.1536
Brazil,Casa Nova,32,0,13,0,32,-9.1619,-40.9708
United States of America,Conway,78,1,23,4,78,35.0753,-92.4692
United States of America,Conway,78,1,23,4,78,33.8401,-79.0431
United States of America,Conway,78,1,23,4,78,28.4968,-81.3316
United States of America,Conway,78,1,23,4,78,44.0085,-71.0719
Slovakia,Nitra,48,1,30,1,48,48.3069,18.0864
Armenia,Spitak,51,1,36,0,51,40.8372,44.2675
Belgium,Tienen,39,1,30,3,39,50.8,4.9333
United States of America,Sunnyside,34,1,34,1,17,46.3157,-120.0058
Russian Federation,Surgut,34,1,34,0,23,61.25,73.4333
United States of America,Suwanee,83,2,12,20,83,34.0508,-84.0686
Russian Federation,Svetogorsk,39,1,39,1,28,61.1167,28.85
Mexico,Tampico,34,1,24,2,34,22.2553,-97.8686
United States of America,Terrytown,40,2,38,9,40,29.9014,-90.0279
Thailand,Thung Song,53,0,16,0,53,8.1669,99.6745
Brazil,Tobias Barreto,25,0,8,1,25,-11.1839,-37.9978
United States of America,Tracy,52,1,24,11,52,37.7269,-121.4523
Germany,Ulm,59,1,35,3,59,48.4,9.9833
Germany,Dingolfing,29,0,29,1,26,48.6333,12.5
Russian Federation,Dolgoprudnyy,54,1,26,7,54,55.9333,37.5
Russian Federation,Khotkovo,36,1,30,2,36,56.25,38.0
Thailand,Kanchanaburi,40,0,19,0,40,14.0194,99.5311
Belgium,Kraainem,36,1,29,3,36,50.8619,4.4572
Colombia,La Virginia,111,4,1,7,111,4.9167,-75.8333
United States of America,Mattoon,41,1,34,6,41,39.4774,-88.3623
United States of America,Menasha,51,2,16,8,51,44.2125,-88.4271
Peru,Tacna,31,1,12,2,31,-18.0147,-70.2489
India,Taloda,152,0,28,0,152,21.5607,74.22
Italy,Trieste,47,1,47,1,25,45.6503,13.7703
Italy,Trinitapoli,53,1,48,1,53,41.35,16.1
Japan,Tsushima,60,1,60,0,21,35.1771,136.7413
Japan,Tsushima,60,1,60,0,21,34.2,129.2833
Japan,Uji,48,1,48,0,23,34.8844,135.7997
India,Uravakonda,78,0,26,0,78,14.95,77.27
South Africa,Ventersburg,156,8,4,13,156,-28.0833,27.1333
Russian Federation,Vladikavkaz,51,1,33,2,51,43.04,44.6775
United States of America,Walnut Park,82,2,18,30,82,33.9682,-118.222
United States of America,Watsonville,50,1,30,7,50,36.9206,-121.7708
Germany,Weeze,31,0,24,3,31,51.6267,6.1967
Germany,Bad Neustadt,32,1,26,3,32,50.3219,10.2161
Netherlands,Bedum,30,1,30,3,27,53.3,6.6
Austria,Bischofshofen,26,0,26,1,17,47.4172,13.2194
France,Bouguenais,30,0,30,1,17,47.1775,-1.6214
Ukraine,Brovary,56,1,38,1,56,50.5111,30.79
United States of America,Brownwood,52,1,24,1,52,31.7127,-98.9767
Philippines,Calamba,54,1,24,1,54,8.5583,123.6417
Italy,Castel San Giovanni,59,1,34,2,59,45.05,9.4333
Mexico,Pueblo Nuevo,16,1,10,1,16,17.1576,-92.8973
Mexico,Pueblo Nuevo,16,1,10,1,16,8.5008,-75.5072
Mexico,Pueblo Nuevo,16,1,10,1,16,13.3797,-86.4808
United States of America,Milford,37,1,37,0,35,42.1565,-71.5188
United States of America,Milford,37,1,37,0,35,42.8178,-71.6736
United States of America,Milford,37,1,37,0,35,38.9091,-75.4227
United States of America,Milford,37,1,37,0,35,40.4291,-75.4153
United States of America,Mineola,59,2,38,8,59,40.747,-73.6394
Portugal,Moita,42,1,42,0,19,38.65,-8.9833
United States of America,East Stroudsburg,68,2,25,7,68,41.0023,-75.1779
India,Daudnagar,150,3,139,1,150,25.03,84.4
Latvia,Daugavpils,34,1,34,0,26,55.875,26.5356
Republic of North Macedonia,Dolneni,59,1,41,0,59,41.4264,21.4536
United States of America,Elkton,39,1,27,9,39,39.6066,-75.8209
United States of America,Merrimack,30,1,30,3,22,42.8547,-71.5188
Guyana,New Amsterdam,61,0,20,0,61,6.25,-57.5167
United States of America,Newburgh,55,2,20,12,55,41.5531,-74.0599
United States of America,Paris,72,1,24,3,72,48.8567,2.3522
United States of America,Paris,72,1,24,3,72,33.6688,-95.546
United States of America,Paris,72,1,24,3,72,36.2933,-88.3065
United States of America,Paris,72,1,24,3,72,38.2016,-84.2718
United States of America,Paris,72,1,24,3,72,39.6148,-87.6903
Cabo Verde,Praia,40,0,40,0,27,14.918,-23.509
Russian Federation,Sokol,46,1,29,1,46,59.4667,40.1167
Italy,Syracuse,56,1,31,3,56,43.0407,-76.1437
Italy,Syracuse,56,1,31,3,56,41.0859,-112.0698
Germany,Geesthacht,33,0,33,1,32,53.4375,10.3675
Russian Federation,Golyshmanovo,48,1,36,0,48,56.3819,68.3715
Brazil,Itupiranga,37,1,5,0,37,-5.135,-49.3269
Sierra Leone,Bo,50,1,11,0,50,7.9564,-11.74
Sierra Leone,Bo,50,1,11,0,50,20.6736,105.5311
United States of America,Brandon,64,1,24,3,64,27.9367,-82.3
United States of America,Brandon,64,1,24,3,64,49.8483,-99.95
United States of America,Brandon,64,1,24,3,64,32.2778,-89.9896
United States of America,Brandon,64,1,24,3,64,43.5928,-96.5799
United States of America,Brandon,64,1,24,3,64,52.4474,0.6242
Italy,Castel Maggiore,37,1,37,3,34,44.5667,11.3667
United States of America,Abbeville,41,1,23,2,41,50.1058,1.8358
United States of America,Abbeville,41,1,23,2,41,29.9751,-92.1265
Italy,Arzano,52,1,52,2,38,40.9167,14.2667
Japan,Ashiya,48,1,48,0,19,34.7278,135.3033
Japan,Ashiya,48,1,48,0,19,33.8938,130.6639
Germany,Bad Urach,39,1,25,2,39,48.4931,9.3986
Germany,Bad Windsheim,41,1,26,3,41,49.5,10.4167
Burkina Faso,Dano,38,1,12,0,38,11.1436,-3.0628
,Diu,128,0,29,0,128,20.715,70.9844
South Africa,Cullinan,262,16,3,15,262,-25.6728,28.5208
India,Curchorem,79,0,21,0,79,15.25,74.1
,Formia,47,1,47,0,32,41.2667,13.6167
Italy,Chiavari,42,1,42,1,21,44.3167,9.3333
United Kingdom of Great Britain and Northern Ireland,Harlow,52,0,36,2,52,51.779,0.128
India,Khowai,63,3,36,2,63,24.065,91.605
China,Kunming,49,1,21,2,49,25.0433,102.7061
United States of America,La Grange Park,59,2,29,14,59,41.8308,-87.8723
Germany,Ladenburg,53,1,31,3,53,49.4667,8.6167
Spain,Las Palmas,37,1,37,0,16,28.1272,-15.4314
Italy,Magione,38,1,38,2,23,43.15,12.2
Germany,Rietberg,28,0,28,1,28,51.8,8.4333
Japan,Niigata,42,1,42,0,31,37.9161,139.0364
Italy,Nonantola,57,1,24,10,57,44.6777,11.043
Russian Federation,Novovoronezh,52,1,29,2,52,51.3167,39.2167
United States of America,Allen Park,51,1,28,8,51,42.2595,-83.2107
Malaysia,Sibu,61,3,21,0,61,2.3,111.8167
Portugal,Pinhal Novo,42,1,36,2,42,38.631,-8.914
United Kingdom of Great Britain and Northern Ireland,Solihull,49,1,5,11,49,52.413,-1.778
United States of America,Spanaway,50,1,33,8,50,47.0979,-122.4233
China,Dongtai,159,3,159,3,121,32.8534,120.3037
Brazil,Erechim,27,0,11,2,27,-27.6339,-52.2739
Turkey,Gediz,46,1,46,0,36,39.0417,29.41
United States of America,El Cajon,71,2,5,27,71,32.8017,-116.9604
United States of America,Alderwood Manor,62,2,21,10,62,47.8146,-122.2672
Russian Federation,Anadyr,18,1,18,1,9,64.7333,177.5167
United States of America,Appleton,56,1,31,0,56,44.278,-88.3892
United States of America,Appleton,56,1,31,0,56,53.3508,-2.5441
Russian Federation,Armavir,48,1,48,1,28,45.0,41.1167
Russian Federation,Armavir,48,1,48,1,28,40.15,44.04
Brazil,Augusto Correa,22,0,19,0,22,-1.0219,-46.645
New Zealand,Avarua,28,0,28,0,12,-21.207,-159.771
Italy,Avigliano,54,1,54,0,40,40.7314,15.7166
United Kingdom of Great Britain and Northern Ireland,Aylesbury,34,1,30,1,34,51.8168,-0.8124
Brazil,Correntina,11,0,11,0,3,-13.3428,-44.6369
United States of America,Cottage Grove,51,1,42,2,51,44.8161,-92.9274
United States of America,Cottage Grove,51,1,42,2,51,43.796,-123.0573
United States of America,College Station,122,1,19,2,122,30.5852,-96.2959
Germany,Herzogenaurach,61,1,53,0,61,49.57,10.8819
United States of America,Hibbing,54,1,28,0,54,47.398,-92.9486
Germany,Hofgeismar,53,1,45,0,53,51.4833,9.4
Italy,Impruneta,74,1,74,0,42,43.6833,11.25
Pakistan,Jhelum,168,5,33,11,168,32.9425,73.7256
Nicaragua,Jinotepe,37,1,26,0,37,11.8472,-86.1997
Sri Lanka,Kalmunai,56,1,24,1,56,7.4167,81.8167
Russian Federation,Kaspiysk,54,1,39,0,54,42.8803,47.6383
Bulgaria,Kazanlak,56,1,48,0,56,42.6167,25.4
Mexico,Delicias,72,1,33,0,72,28.1931,-105.4717
,Safety Harbor,88,1,88,1,14,28.008,-82.6964
France,Courcouronnes,74,1,44,1,74,48.6239,2.4294
Russian Federation,Boksitogorsk,29,1,29,0,9,59.4833,33.8333
France,Bruges,42,1,42,0,22,51.2089,3.2242
France,Bruges,42,1,42,0,22,44.8828,-0.6125
Argentina,Campana,54,1,23,4,54,-34.1667,-58.9167
United States of America,Canandaigua,43,1,33,1,43,42.8608,-77.3182
Italy,Caravaggio,86,1,58,0,86,45.4978,9.6431
Ireland,Carlow,50,1,42,0,50,52.8306,-6.9317
India,Palladam,50,0,25,0,50,10.99,77.2
Brazil,Pedra Branca,30,0,14,0,30,-5.4539,-39.7169
Guatemala,Morales,53,1,10,1,53,15.4725,-88.8414
Guatemala,Morales,53,1,10,1,53,2.7603,-76.6339
Guatemala,Morales,53,1,10,1,53,8.3133,-73.8719
United States of America,Mandan,47,1,17,8,47,46.829,-100.887
Belgium,Huy,35,1,23,4,35,50.5167,5.2333
,Ischia,56,1,56,0,38,40.75,13.95
China,Jiaohe,66,2,52,0,66,38.0228,116.2845
Hungary,Karcag,67,1,31,1,67,47.3111,20.9161
,Key West,28,0,27,0,28,24.5642,-81.7775
Italy,Gubbio,57,1,38,3,57,43.35,12.5667
United States of America,Hempstead,121,4,11,36,121,40.6629,-73.6089
Switzerland,Freienbach,41,1,27,2,41,47.2,8.75
France,Fresnes,72,2,20,6,72,48.755,2.3221
Germany,Geretsried,54,1,37,4,54,47.8667,11.4667
India,Hukeri,62,0,22,0,62,16.23,74.6
Germany,Eilenburg,67,1,38,3,67,51.4608,12.6358
Spain,Ferrol,28,1,27,2,28,43.4844,-8.2328
Germany,Frechen,55,1,46,1,55,50.9167,6.8167
Colombia,Neiva,43,1,5,1,43,2.9345,-75.2809
Japan,Niihama,51,1,29,6,51,33.9667,133.2833
Romania,Odorheiu Secuiesc,53,1,43,0,53,46.3139,25.3017
India,Sonepur,155,2,49,1,155,20.8333,83.9167
United Kingdom of Great Britain and Northern Ireland,South Shields,43,1,38,0,43,54.995,-1.43
Serbia,Sremska Mitrovica,65,1,65,0,58,44.97,19.6125
Russian Federation,Teykovo,38,1,38,0,14,56.8547,40.5411
United States of America,Turlock,46,1,28,5,46,37.5053,-120.8588
Mexico,Tuxtla,47,1,20,1,47,16.7528,-93.1167
Russian Federation,Tynda,500,21,8,17,475,55.1667,124.7167
Estonia,Tartu,35,1,35,0,17,58.3833,26.7167
United States of America,Kankakee,64,2,27,10,64,41.102,-87.8643
United States of America,Kokomo,54,1,39,1,54,40.464,-86.1277
France,Le Bourget,68,1,46,1,68,48.9344,2.4244
Cameroon,Limbe,42,1,21,0,42,4.0167,9.2167
Indonesia,Jakarta,197,4,197,3,155,-6.175,106.8275
Uzbekistan,Pop,138,1,25,8,138,40.8736,71.1089
India,Periyakulam,121,3,5,8,121,10.12,77.55
Indonesia,Palu,50,1,7,1,50,-0.895,119.8594
Indonesia,Palu,50,1,7,1,50,38.7039,39.9511
Italy,Serravalle Pistoiese,71,1,71,0,43,43.9,10.8333
